scheme,function,npoints,CFL,do-time,itavgtime,extime,writetime,L1,L2,LINF,L1_m,L2_m,LINF_m
lax,exp,200,1.00, 4.90000000E-05, 1.22500000E-06, 1.56300000E-03, 1.38000000E-03, 2.20448948E+00, 8.82839017E-01, 4.97167218E-01, 2.20448948E+00, 8.82839017E-01, 4.98031083E-01
lax,exp,6400,1.00, 6.03500000E-03, 5.01245847E-06, 4.51960000E-02, 3.85030000E-02, 7.08870762E+01, 5.00623273E+00, 4.99992368E-01, 7.08870762E+01, 5.00623273E+00, 4.99987102E-01
mcc,exp,200,0.10, 4.89000000E-04, 1.30053191E-06, 1.99500000E-03, 1.38800000E-03, 4.42676008E+00, 1.03885707E+00, 4.96860791E-01, 4.19269336E+00, 1.07418465E+00, 5.04479193E-01
mcc,exp,6400,0.10, 9.53990000E-02, 7.94991667E-06, 1.35133000E-01, 3.90550000E-02, 1.41774104E+02, 6.93917813E+00, 4.99992368E-01, 1.40440776E+02, 7.00142355E+00, 4.99986040E-01
mcc,exp,200,1.00, 5.30000000E-05, 1.32500000E-06, 1.57500000E-03, 1.38200000E-03, 7.42004149E+14, 1.86594453E+14, 7.67097749E+13, 6.49408773E+05, 1.90042966E+05, 9.23668079E+04
mcc,exp,6400,1.00, 9.72800000E-03, 8.07973422E-06, 4.85690000E-02, 3.81860000E-02,            NaN,            NaN,       Infinity,            NaN,            NaN,       Infinity
tow,exp,200,0.10, 5.87000000E-04, 1.56117021E-06, 2.12300000E-03, 1.41600000E-03, 4.40928275E+00, 1.03830018E+00, 4.97198745E-01, 4.13715153E+00, 1.06170427E+00, 4.94886197E-01
tow,exp,6400,0.10, 2.03274000E-01, 1.69395000E-05, 2.43132000E-01, 3.91750000E-02, 1.41774102E+02, 6.93916696E+00, 4.99992368E-01, 1.40436928E+02, 7.00139719E+00, 4.99985919E-01
tow,exp,200,1.00, 6.30000000E-05, 1.57500000E-06, 1.59800000E-03, 1.37900000E-03, 4.48915521E+00, 1.07928585E+00, 4.97484192E-01, 4.38230925E+00, 1.13519817E+00, 5.08791160E-01
tow,exp,6400,1.00, 2.05010000E-02, 1.70274086E-05, 6.06690000E-02, 3.94940000E-02, 2.84078539+135, 1.71187616+134, 1.48092910+133, 6.93720280E+60, 4.42261357E+59, 3.91323382E+58
lax,sgn,200,0.50, 9.58000000E-04, 1.26052632E-05, 6.26900000E-03, 4.87300000E-03, 6.08849747E+00, 1.34881410E+00, 5.25017266E-01, 4.31552484E+00, 1.14234597E+00, 5.13207900E-01
lax,sgn,800,0.50, 1.01330000E-02, 3.37766667E-05, 2.92960000E-02, 1.85350000E-02, 1.19578998E+01, 1.87017932E+00, 4.74005277E-01, 8.48261859E+00, 1.58253631E+00, 5.02760774E-01
lax,sgn,1600,0.50, 6.68590000E-02, 1.11431667E-04, 1.04995000E-01, 3.60300000E-02, 1.69183516E+01, 2.22527792E+00, 4.81602227E-01, 1.19556512E+01, 1.87002798E+00, 4.75357919E-01
lax,sgn,6400,0.50, 5.48265000E-01, 2.28443750E-04, 6.95403000E-01, 1.44932000E-01, 3.38477055E+01, 3.14834213E+00, 4.90794834E-01, 2.39302245E+01, 2.64700498E+00, 4.87673419E-01
mcc,sgn,200,0.50, 1.64200000E-03, 2.16052632E-05, 6.67000000E-03, 4.42800000E-03, 2.60032565E+00, 7.98018083E-01, 5.08611065E-01, 2.15839880E+00, 8.16776807E-01, 6.14798244E-01
mcc,sgn,800,0.50, 2.17500000E-02, 7.25000000E-05, 4.65460000E-02, 2.40880000E-02, 4.71485897E+00, 1.13633545E+00, 6.24739548E-01, 3.55648855E+00, 9.84477427E-01, 6.00876967E-01
mcc,sgn,1600,0.50, 8.48390000E-02, 1.41398333E-04, 1.20704000E-01, 3.49660000E-02, 6.22053491E+00, 1.29014177E+00, 6.33610820E-01, 4.68917590E+00, 1.12221519E+00, 6.15049413E-01
mcc,sgn,6400,0.50, 1.22687800E+00, 5.11199167E-04, 1.35934400E+00, 1.30621000E-01, 1.07906690E+01, 1.66157788E+00, 6.46045858E-01, 8.14912015E+00, 1.45356382E+00, 6.34700812E-01
lax,exp,200,0.50, 9.43000000E-04, 1.24078947E-05, 6.30600000E-03, 4.73200000E-03, 2.70279807E+00, 6.86606507E-01, 3.84579694E-01, 2.24438100E+00, 6.08220399E-01, 3.43757936E-01
lax,exp,800,0.50, 3.01510000E-02, 1.00503333E-04, 5.17440000E-02, 1.92540000E-02, 6.90466596E+00, 9.97789541E-01, 2.86881587E-01, 4.92214002E+00, 7.58398012E-01, 2.22764541E-01
lax,exp,1600,0.50, 5.71190000E-02, 9.51983333E-05, 9.81530000E-02, 3.86320000E-02, 9.83507091E+00, 1.07090469E+00, 2.22813931E-01, 6.39624569E+00, 7.35037827E-01, 1.57173342E-01
